"Sorry, but something went wrong","Sorry, but something went wrong"
"No authorization transaction to proceed capture.","No authorization transaction to proceed capture."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Authorize","Authorize"
"Authorize and Capture","Authorize and Capture"
"Credit Card Number","Credit Card Number"
"Please, enter valid Credit Card Number","Please, enter valid Credit Card Number"
"Expiration Date","Expiration Date"
"Please, enter valid Expiration Date","Please, enter valid Expiration Date"
"Card Verification Number","Card Verification Number"
"Please, enter valid Card Verification Number","Please, enter valid Card Verification Number"
"What is this?","What is this?"
"Save for later use.","Save for later use."
"Place Order","Place Order"
"Credit Card Type","Credit Card Type"
"ending","ending"
"expires","expires"
"Aheadworks Nmi","Aheadworks Nmi"
"Enabled","Enabled"
"Title","Title"
"Environment","Environment"
"Tokenization Key","Tokenization Key"
"Live API Username","Live API Username"
"Live API Password","Live API Password"
"Sandbox API Username","Sandbox API Username"
"Sandbox API Password","Sandbox API Password"
"Vault Enabled","Vault Enabled"
"Vault Title","Vault Title"
"Debug","Debug"
"Payment Action","Payment Action"
"Payment From Applicable Countries","Payment From Applicable Countries"
"Payment From Specific Countries","Payment From Specific Countries"
"Sort Order","Sort Order"
"Enable Customer Vault And Partial Invoices","Enable Customer Vault And Partial Invoices"
"WARNING!","WARNING!"
"Return And Edit","Return And Edit"
"Create Partial Invoice Anyway","Create Partial Invoice Anyway"
"Not possible to invoice this order online partially. If you continue, you won’t be able to create another online invoice for this order later. To enable partial invoices for the future orders, set the option %1 to Yes. <br>Note, if you proceed, you still will be able to invoice the remainder of this order offline.","Not possible to invoice this order online partially. If you continue, you won’t be able to create another online invoice for this order later. To enable partial invoices for the future orders, set the option %1 to Yes. <br>Note, if you proceed, you still will be able to invoice the remainder of this order offline."
"Due to limitation of NMI API, you must enable this option if you need to:<br> - Do partial invoicing on the orders;<br> - Allow customers to use Shipping With Multiple Addresses.","Due to limitation of NMI API, you must enable this option if you need to:<br> - Do partial invoicing on the orders;<br> - Allow customers to use Shipping With Multiple Addresses."
"API Endpoint URL","API Endpoint URL"
"Authorization mode","Authorization mode"
"Sandbox","Sandbox"
"Production","Production"
"Live Security key","Live Security key"
"Sandbox Security key","Sandbox Security key"
